RUN	com.KarateGatlingDemo.TestSimulation	testsimulation	1583702145793	 	3.0.2
USER	Get the hottest day and coldest day of the week	17	START	1583702156457	1583702156457
REQUEST	17		GET /v1/history.json/	1583702156485	1583702156500	OK	 
USER	Get the hottest day and coldest day of the week	17	END	1583702156457	1583702156517
USER	Get the hottest day and coldest day of the week	18	START	1583702156957	1583702156957
REQUEST	18		GET /v1/history.json/	1583702156971	1583702157006	OK	 
USER	Get the hottest day and coldest day of the week	18	END	1583702156957	1583702157020
USER	Get the hottest day and coldest day of the week	19	START	1583702157966	1583702157966
REQUEST	19		GET /v1/history.json/	1583702158003	1583702158020	OK	 
USER	Get the hottest day and coldest day of the week	19	END	1583702157966	1583702158041
USER	Get the hottest day and coldest day of the week	20	START	1583702158467	1583702158467
REQUEST	20		GET /v1/history.json/	1583702158487	1583702158504	OK	 
USER	Get the hottest day and coldest day of the week	20	END	1583702158467	1583702158532
USER	Get the hottest day and coldest day of the week	21	START	1583702158965	1583702158965
REQUEST	21		GET /v1/history.json/	1583702158984	1583702159004	OK	 
USER	Get the hottest day and coldest day of the week	21	END	1583702158965	1583702159026
USER	Get the hottest day and coldest day of the week	22	START	1583702159966	1583702159966
REQUEST	22		GET /v1/history.json/	1583702159981	1583702159995	OK	 
USER	Get the hottest day and coldest day of the week	22	END	1583702159966	1583702160007
USER	Get the hottest day and coldest day of the week	23	START	1583702160464	1583702160464
REQUEST	23		GET /v1/history.json/	1583702160483	1583702160501	OK	 
USER	Get the hottest day and coldest day of the week	23	END	1583702160464	1583702160511
USER	Get the hottest day and coldest day of the week	24	START	1583702160966	1583702160966
REQUEST	24		GET /v1/history.json/	1583702160985	1583702161002	OK	 
USER	Get the hottest day and coldest day of the week	24	END	1583702160966	1583702161022
USER	Get the hottest day and coldest day of the week	25	START	1583702161974	1583702161974
REQUEST	25		GET /v1/history.json/	1583702161991	1583702162021	OK	 
USER	Get the hottest day and coldest day of the week	25	END	1583702161974	1583702162033
USER	Get the hottest day and coldest day of the week	26	START	1583702162476	1583702162476
REQUEST	26		GET /v1/history.json/	1583702162489	1583702162521	OK	 
USER	Get the hottest day and coldest day of the week	26	END	1583702162476	1583702162540
USER	Get the hottest day and coldest day of the week	27	START	1583702162974	1583702162974
REQUEST	27		GET /v1/history.json/	1583702162989	1583702163005	OK	 
USER	Get the hottest day and coldest day of the week	27	END	1583702162974	1583702163014
USER	Get the hottest day and coldest day of the week	28	START	1583702163977	1583702163977
REQUEST	28		GET /v1/history.json/	1583702163990	1583702164017	OK	 
USER	Get the hottest day and coldest day of the week	28	END	1583702163977	1583702164035
USER	Get the hottest day and coldest day of the week	29	START	1583702164474	1583702164474
REQUEST	29		GET /v1/history.json/	1583702164490	1583702164505	OK	 
USER	Get the hottest day and coldest day of the week	29	END	1583702164474	1583702164517
USER	Get the hottest day and coldest day of the week	30	START	1583702164979	1583702164979
REQUEST	30		GET /v1/history.json/	1583702164996	1583702165011	OK	 
USER	Get the hottest day and coldest day of the week	30	END	1583702164979	1583702165024
